data_aniversário,autoriza_postagem_niver,idade,escolaridade,bairro_cidade,raca_etnia,genero,orientacao_sexual,tem_filhos,area_ti_ou_trasicao_carreira,situacao_profissional,profissionalmente_ativa,profissao_atual,renda_mensal,trabalha_estuda_com_tecnologia,programa_python,quanto_tempo_programa_python,tem_interesse_aprender,seu_nivel_python,ja_trabalhou_qual_segmento,ja_trabalhou_outras_tecnologias,como_conheceu_pyladies,ja_participou_evento,o_que_espera_comunidade,como_voce_pode_ajudar_comunidade,frequencia_participa_evento,quais_eventos_mais_gosta,qual_area_desperta_mais_interesse,ministrar_palestra_cursos,sobre_quais_assuntos,o_que_poderia_desperar_interesse_para_interagir_participar_mais,gostaria_participar_do_programa_mentoria,faz_parte_de_outra_comunidade,tem_experiencia_organizacao_evento,interesses,dificuldades_mulheres_na_ti,tipo_apoio_voce_espera_da_comunidade,prefere_trabalhar_em_projetos_individuais_ou_equipes,autoriza_autorizacao_manter_info,autorizacao_imagem,email_hash,nome_hash,contato_hash
22/09,Não,Maior de 50 anos,Graduação - cursando,Fortaleza/Centro ,Parda,Cisgênera,Heterossexual,Sim e compartilho a responsabilidade sobre eles com outras pessoas,Letras,Empreendedor(a),Estou buscando ativamente novo emprego/estágio/etc.,Estou cursando ADS e fazendo um curso de Ciências de Dados pela UECE,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),1 ano a 2 anos,Não,Não se aplica,Sim,Não sei definir,Não se aplica,Nenhuma ,Uma membra colocou o anúncio do curso no Discord da Ciências de Dados,Não,CONHECER MAIS DO MUNDO DA TECNOLOGIA,AINDA NAO SEI,nula,Atividades lúdicas e recreativas;Workshops;Palestras;Tutoriais,Análise/Visualização de Dados;Data Science;Desenvolvimento Web;Machine Learning,Talvez,Ainda não sei ,"Rodas de conversa, cursos para iniciantes ","Sim, como mentorada",Não ,Não,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);🧘‍♀️ (bem-estar, para práticas como yoga)",MEU DESAFIO E DUPLO POIS TENHO ANOS E ESTOU MUDANDO DE CARREIRA AGORA,NAO SEI,Equipe ,"Sim, autorizo!","Sim, autorizo!",f01eae2b2f04c61085a6529fcf34b9fc31379457718526247963e40a16f6e6cc,b4fc80ac21ae2a2e1fe3d0e0d51619645404b2305ab65119f99db70d003496cb,8b362f14f460645cc1f13005006bc1a4506dbc311a8e7026dfec4bde85c005e1
27/09,Sim,Entre 31 e 40 anos,Graduação - concluído,Fortaleza/Benfica,Preta,Cisgênera,Bissexual,Não,Não. Cinema e Publicidade,Não trabalho e estou buscando um emprego/estágio,nula,nula,Menos de 1 salário mínino ( < 1.412),2 a 4 anos,Sim,menos de 1 ano,Sim,Júnior,Não se aplica,nula,Evento,"Sim, como participante",OPORTUNIDADE DE CONEXOES,AJUDAR AS PESSOAS A NAO DESISTIREM DE TENTAR ENCONTRAR SEU LUGAR,1 evento por ano,Workshops;Palestras,Análise/Visualização de Dados;Big Data;Data Science;Machine Learning,Talvez,nula,nula,Talvez,Não.,Não,"🎨 (arte, representando interesses criativos);⚽ (futebol, representando interesses esportivos);🎶 (música, para interesses musicais);🌍 (viagens, para interesses em explorar o mundo)",DESACREDITADA POR SER MULHER,NULA,Equipe. ,"Sim, autorizo!","Sim, autorizo!",2b4d180ef7ed91ab25dcecbd5701a28af6423658df1a02189cd3f217bba4196d,0ba817d8ac8ecbd8a923d0c507296cf02aba2575b43d5c33ae3ad2f11ffa746f,7007d36514015b8562afb44713263e97a0aaf37c4085312a40e80ee2633374a7
21/03,Não,Entre 25 e 30 anos,Ensino Médio/Técnico (cursando ou concluído),FORTALEZA/ALDEOTA,Parda,Cisgênera,Heterossexual,Não,"não, educação física ",Não trabalho e estou buscando um emprego/estágio,nula,nula,nula,2 a 4 anos,Não,Não se aplica,Talvez,Não sei definir,Análise/Visualização de Dados;Big Data;Data Science,Power BI,Indicação de amiga(o),Não,QUE EU POSSA AJUDAR NO QUE PUDER E O QUE RECEBER E LUCRO ALEM DE PARTICIPAR DE UM GRUPO FORTE DE MULHERES NA AREA DE TECNOLOGIA,NAO SEI ESPECIFICAMENTE MAS O QUE PUDER AJUDAR CONTE COMIGO,nula,Atividades lúdicas e recreativas;Workshops;Palestras;Tutoriais,Análise/Visualização de Dados;Big Data;Data Science;Desenvolvimento Web,Talvez,nula,nula,Talvez,não ,Não,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);⚽ (futebol, representando interesses esportivos);🎶 (música, para interesses musicais);🌍 (viagens, para interesses em explorar o mundo);🎮 (jogos, para quem curte videogames)",NULA,NULA,"não sei, mas acho que em grupo.
Pois é uma forma de ajudar e ser ajudado, mas também dependendo do projeto não importa ser individual ","Sim, autorizo!","Sim, autorizo!",7f6ea2314847450854ccd7205f282bca1a0150be387418cd4a1bad1ea5ccea04,d1187db02d5a7e6743d8752f7037b89cb699cb135da7b95dba37afa83da822f7,3c0c50b00e5a4650f2d1efc7a72a126c46096bd326e9b7a992b25cef52fbb615
1811,Sim,Entre 31 e 40 anos,Ensino Médio/Técnico (cursando ou concluído),FORTALEZA/JACARECANGA ,Parda,Cisgênera,Heterossexual,Sim e compartilho a responsabilidade sobre eles com outras pessoas,Crafter /Design,Freelancer,Estou buscando ativamente novo emprego/estágio/etc.,Desing,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),1 ano a 2 anos,Não,menos de 1 ano,Sim,Júnior,Análise/Visualização de Dados,nula,Indicação de amiga(o),Não,APRENDER DE FORMA EFICIENTE PRA APLICAR EM MINHA NOVA JORNADA,NULA,1 evento por ano,Workshops;Palestras;Tutoriais,Análise/Visualização de Dados;Desenvolvimento Web,Não,nula,nula,"Sim, como mentorada",Nao,Não,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);⚽ (futebol, representando interesses esportivos);🎶 (música, para interesses musicais);🍳 (culinária, para quem gosta de cozinhar);🌍 (viagens, para interesses em explorar o mundo);🧘‍♀️ (bem-estar, para práticas como yoga);🎮 (jogos, para quem curte videogames)",NULA,NULA,nula,"Sim, autorizo!","Sim, autorizo!",c760cbb64af55d0964f30a18c78eb4b7dca93634684ccb0ed6a6ee3cfd310aa2,102c0c5a9a7e16ca80e3751660def23ad9c5089869d54df69d50d5bdd3454839,06961a2b7c4b09368b4ecfd48694be9b27c713fd3773f6c8e3493d960c3517ad
24.09.1977,Sim,Entre 41 e 50 anos,Graduação - incompleto,Floresta,Parda,Cisgênera,Heterossexual,Sim e sou a única responsável por eles,"Não. Sou do mato atualmente, mas smp fui da educação.","Estou me curando, e hj tenho outras perspectivas sobre ganhar dinheiro e áreas q qro atuar.",nula,"Não estou ainda, atuando profissionalmente, mas em processo de cura e vou voltar a trabalhar. Meu 1o evento, curso e momento com a área tech, vai ser no evento da Pyladies, sábado agora, 25.01",Menos de 1 salário mínino ( < 1.412),Não se aplica,Não,Não se aplica,Sim,Não se aplica,Não se aplica,"Ainda não trabalhei, vou participar d um evento com vcs, e me auto-observar pra sbaer se tenho afinidade com área tech.","Redes Sociais (Instagram, Facebook e etc)",Não;Vou participar,APRENDER,COLABORANDO COMO VOLUNTARIA EM ORGANIZACAO DE EVENTOS SEM PALESTRAR AINDA RS E COMPARTILHANDO CURTINDO PROMOVENDO ENGAJAMENTO SOCIAL,nula,Atividades lúdicas e recreativas;Workshops;Palestras;Tutoriais,Análise/Visualização de Dados;Desenvolvimento Web;Segurança,Talvez,Ainda não sei,"Um grupo voltado só pra info d eventos nacionais e  regionais, outro pra vag d emprego, estágio e bolsa.","Sim, como mentorada",Não,Sim,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);🌍 (viagens, para interesses em explorar o mundo);🧘‍♀️ (bem-estar, para práticas como yoga)",AINDA NAO ME DEPAREI POIS AINDA NAO INGRESSEI NA AREA MAS IMAGINO Q PRA NOS COMO MULHERES ATUAR NUMA AREA ANTES TAO VOLTADA SO PRA HOMENS SERA SEMPRE UM DESAFIO E UMA VITORIA TB,PSICOLOGICO E AJUDA MUTUA AS VEZES O POVO QUER SER AJUDADO MAS ESQUECE DA RECIPROCIDADE,"Os dois. Na vida sempre vamos ser individuais, mas q precisamos da coletividade.","Sim, autorizo!","Sim, autorizo!",cf07b9b9853c1c842a56c026e20b95ba3ffe197dc8e521f68f1fab1fe368f791,252c925adf691540cddbfd1a112fc6ac82d6589c7912162797a0ecd88f0fa66e,dc3f5130bb95ebccf9f98014d0ff17cad8800f33f61f9d8d59df4f3b7af1e305
23/11/1989,Sim,Entre 31 e 40 anos,Graduação - cursando,Meruoca ,Parda,Cisgênera,Heterossexual,Não,GESTÃO EM RECURSOS HUMANOS ,Não trabalho e estou buscando um emprego/estágio,Estou buscando ativamente novo emprego/estágio/etc.,Gestão em Recursos Humanos ,Menos de 1 salário mínino ( < 1.412),Não se aplica,Não,Não se aplica,Sim,Não sei definir,Não se aplica,nula,"Redes Sociais (Instagram, Facebook e etc)",Não,APRENDER,NULA,nula,Atividades lúdicas e recreativas;Workshops;Palestras;Tutoriais,Análise/Visualização de Dados;Big Data;Data Science;Desenvolvimento Web;IoT;Jogos;Machine Learning;Segurança;Testes;Web scrapping,"Sim, tendo apoio e divindindo espaço da apresentação com outra pessoa",nula,nula,"Sim, como mentora e mentorada",Não ,Não,"📚 (livros, representando interesses em leitura);🎶 (música, para interesses musicais);🧘‍♀️ (bem-estar, para práticas como yoga)",NULA,NULA,Equipe ,"Sim, autorizo!","Não, obrigada!",f86200223a5abb00402cd5d5955fd973e59814a2bc2ad2c8f8658824848d3a07,9f4f506d740d17e01d1cb200cb47822ef0258ca61ef51b4422f8912439482b6c,b1c6e1c6bfa4eb4c01e543281f2b312491f0dbecccc3da1a65bd097a1e96d017
18/10,Sim,Entre 31 e 40 anos,Graduação - concluído,Fortaleza/Monte Castelo,Parda,Cisgênera,Heterossexual,Não,"Não, sou formada em letras . ",Funcionária de empresa privada (CLT/PJ),Estou buscando ativamente novo emprego/estágio/etc.,"Ainda não defini bem, mas tenho interesse em Q.A / engenharia de cloud e front .",Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),1 ano a 2 anos,Não,Não se aplica,Sim,Júnior,Não se aplica,Ainda nenhuma,"Redes Sociais (Instagram, Facebook e etc)","Sim, como participante",UM LUGAR QUE EU CONSIGA SER EU MESMA E POSSA ENCONTRAR MULHERES COMO EU QUE ACREDITAM QUE NOSSO LUGAR E ONDE QUISERMOS,TENHO INTERESSE EM APRENDER A FAZER SITE E AJUDAR NO SITE DAS PYLADIES POSSO AJUDAR NOS EVENTOS QUE FOREM FINAL DE SEMANA,1 evento por ano,Workshops;Palestras;Tutoriais,Análise/Visualização de Dados;Segurança;Testes,Talvez,"Por hora não tenho nenhuma palestra montada. Mas acredito que algo sobre lógica de programação, conceitos básicos . Falar da experiência da transição de carreira.",nula,"Sim, como mentorada",Não ,Não,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);🎶 (música, para interesses musicais);🧘‍♀️ (bem-estar, para práticas como yoga)",ATE AGORA NAO TIVE UM CONTATO DIRETO COM A BARREIRA NA AREA EM ESPECIFICO MAS SABEMOS O QUANTO MACHISMO ESTA EM TODO LUGAR,MENTORIA PARA APRENDER O BASICO DE UMA AREA POR EXEMPLO COMO SE TORNAR UMA QA,"Equipe, pois como
Tenho pouco conhecimento técnico, a equipe me ajuda com
O
Conhecimento dela. ","Sim, autorizo!","Sim, autorizo!",8bc6dcc6e0e01557a3add01b480221b96d1a54c5edf53693133d0de1d4c0f71e,710843d1dd7af8bc828ab4e7ee7e0ac725a2c70239bc08fcedfc9605310967e7,d0dc593ffa48f4681eec01b8e83d24d280fdf775a6084a00c4c3b78ed0faaa9a
07/01,Sim,Entre 25 e 30 anos,Graduação - cursando,FORTALEZA/COCÓ,Branca,Cisgênera,Bissexual,Não,"Estou em transição de carreira, sou formada em Design de Moda ",Não trabalho e estou buscando um emprego/estágio,Não se aplica,nula,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),1 ano a 2 anos,Sim,menos de 1 ano,Sim,Júnior,Análise/Visualização de Dados;Desenvolvimento Web,Javascript e Java,Evento,"Sim, como participante",NETWORKING E OPORTUNIDADES,ATUALMENTE SOU VOLUNTARIA DE COMUNICACAO,Entre 1 a 3 eventos por ano,Atividades lúdicas e recreativas;Workshops;Palestras;Tutoriais,Desenvolvimento Web;Testes,"Sim, tendo apoio e divindindo espaço da apresentação com outra pessoa","Atualmente na area de Design tenho muito a contribuir, posteriormente espero contribuir mais com o conhecimento que estou buscando",Mais tutoriais e workshops,"Sim, como mentorada",Nao,Não,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);🎶 (música, para interesses musicais);🎮 (jogos, para quem curte videogames)",POUCO ESPACOU E POUCO RESPEITO,NETWORKING COM PESSOAS DA AREA EVENTOS COM PALESTRAS DE PESSOAS DE FORA DA COMUNIDADE TBM,Nao tenho preferência ,"Sim, autorizo!","Sim, autorizo!",e755f979e7c08ffd3442beae77d13ae765d566089815788ac7364e05a427fb63,0d5ce1e2c5bc8034d027f1449c3959b1c222ebcddd58ad5977f070f265236d49,4bb9a4e39ea91350176991eca2153f0166a5f8e038eff0b54c5ea9b018e835b6
09/06,Sim,Entre 18 e 24 anos,Graduação - cursando,FORTALEZA/BENFICA,Branca,Cisgênera,Lésbica,Não,Sempre foi da área de TI,"Não trabalho, mas não estou buscando um emprego/estágio",Estou buscando ativamente novo emprego/estágio/etc.,Cientista de Dados,Menos de 1 salário mínino ( < 1.412),2 a 4 anos,Sim,1 ano a 2 anos,Não se aplica,Júnior,Análise/Visualização de Dados;Big Data;Data Science;Machine Learning,"Java, C, HTML, CSS, Javascript, Cibersegurança, Git e Github","Redes Sociais (Instagram, Facebook e etc)",Não,ESPERO QUE SEJA UM ESPACO PARA CONHECER NOVAS DIVAS QUERIDAS QUE COMPARTILHAM O INTERESSE PELA LINGUAGEM PYTHON E POR TODA A AREA DE TI E ASSIM FORMARMOS UMA COMUNIDADE UNIDA E UMA BASE FORTE DE AMIZADE E TROCA DE CONHECIMENTOS,PRETENDO COMPARTILHAR O QUE JA APRENDI E FAZER A COMUNIDADE CRESCER JUNTO A MIM NESTA AREA AINDA TAO POUCO DOMINADA PELAS MULHERES E PODER CONTRIBUIR ATIVAMENTE EM PROJETOS E NO DIA A DIA DAS ACOES E ATIVIDADES PROMOVIDAS,nula,Atividades lúdicas e recreativas;Workshops;Palestras;Tutoriais,Análise/Visualização de Dados;Big Data;Data Science;Machine Learning,"Sim, tendo apoio e divindindo espaço da apresentação com outra pessoa","Ciência de Dados, Back-end com python e Git e GItHub.",Conversas diárias para trocas de conhecimento,"Sim, como mentora e mentorada",Ainda não faço parte de nenhuma outra comunidade,Sim,"🎨 (arte, representando interesses criativos);🎶 (música, para interesses musicais);🌍 (viagens, para interesses em explorar o mundo)",A MAIORIA DOS ESPACOS SEREM DOMINADAS POR HOMENS E A FALTA DE OPORTUNIDADES PARA INICIANTES,NETWORKING PARA VAGAS E OPORTUNIDADES DE EMPREGOSESTAGIOS,Consigo participar de projetos nas duas modalidades.,"Sim, autorizo!","Sim, autorizo!",9856980418e66192ded513b18c560893b10481b82e2b5bf0afa2b4fd181b4dbd,d4d53a1956c8921cbd832b389c137716159ba41fd34fc1c7bf734933cf0db323,cac3bd3ce622910eae60bb48bdbc19aa5e928992b3d14c5d6e454ce1a1ab17ee
05/08/1997,Sim,Entre 25 e 30 anos,Pós Graduação Lato Sensu (Especialização/MBA/etc) - concluído,CAMBEBA,Parda,Cisgênera,Bissexual;Pansexual,Não,Sim,Funcionária de empresa privada (CLT/PJ),"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas",Desenvolvedora back-end,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),Mais de 4 anos,Não,Não se aplica,Sim,Não se aplica,Não se aplica,Java e Javascript (node.js),"Redes Sociais (Instagram, Facebook e etc)",Não,APRENDER UM POUCO DE PYTHON E PODER INTERAGIR E PARTICIPAR DE UMA COMUNIDADE TECH DE MULHERES,NULA,Entre 1 a 3 eventos por ano,Atividades lúdicas e recreativas;Workshops,Análise/Visualização de Dados;Big Data;Data Science;Machine Learning;Testes,Não,nula,"Encontros ou eventos em locais mais acessíveis, que não fosse apenas na região nobre da cidade.","Sim, como mentorada",Não,Não,"🎨 (arte, representando interesses criativos);🎶 (música, para interesses musicais);🧘‍♀️ (bem-estar, para práticas como yoga)",PROBLEMAS RELACIONADOS A DISPARIDADE DE GENERO NA NOSSA AREA AMBIENTES MAJORITARIAMENTE MASCULINOS ONDE SUPERIORESCOLEGAS SUBESTIMARAM MEUS CONHECIMENTOS ASSEDIO MORAL E IMPORTUNACAO,WORKSHOPS DE OUTRAS STACKS ALEM DO PYTHON,"Em equipe. Acredito que, dessa forma, os projetos são finalizados com mais qualidade, pois as chances de que erros passem para as etapas finais do projeto são menores. Além disso, um ambiente colaborativo é ótimo para o desenvolvimento dos profissionais e dos projetos.","Sim, autorizo!","Sim, autorizo!",f13eae5c0f102c6a3ff1fe4312494c14bfa514b137e2c93b168b0f4632fe1e14,118509f12e8608622a8bcd2b903de42a8d3b0507883538819f6d964aa9369835,c30a9aeed5bf35f0ad7aab1484141e04751d27b9d1d1ed53b2488375517d6130
11/10,Não,Entre 25 e 30 anos,Graduação - concluído,MESSEJANA,Branca,Cisgênera,Bissexual;Lésbica,Não,Administrativa,Funcionária de empresa privada (CLT/PJ),Não quero mudar de emprego/estágio/etc.,Analista de dados,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),1 ano a 2 anos,Sim,1 ano a 2 anos,Sim,Júnior,Análise/Visualização de Dados,Excel,Indicação no curso,"Sim, como participante",EU ESPERO PODER COLABORAR COM O CONHECIMENTO QUE TENHO EM OUTRAS AREAS ALEM DA AREA DE TECNOLOGIA,EU TENHO INGLES FLUENTE TENHO TRABALHADO ATUALMENTE BASTANTE COM SQL E TABLEAU TAMBEM ME RECORDO DO MATERIAL DO CURSO DE CARREIRA DO QUAL FIZ PARTE NO BOOTCAMP,Entre 1 a 3 eventos por ano,Atividades lúdicas e recreativas;Workshops;Tutoriais,Análise/Visualização de Dados;Big Data;Data Science,"Sim, tendo apoio e divindindo espaço da apresentação com outra pessoa","Eu não sei se conseguiria falar atualmente de forma direta sobre tecnologia, meu nível de conhecimento pode ser raso em relação à isso, mas eu posso falar sobre assuntos tais como: autodidatismo, e senso crítico (no cenário de dados considero extremamente relevante, afinal, correlação não significa causalidade e é necessário um senso crítico para identificar informações).",Eventos virtuais,"Sim, como mentora","Já fiz outros voluntariados, tais como: Criar para amar, rotaract e em igreja",Não,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);🎶 (música, para interesses musicais);🌍 (viagens, para interesses em explorar o mundo);🧘‍♀️ (bem-estar, para práticas como yoga);🎮 (jogos, para quem curte videogames)",ESTAR INSERIDA EM UM AMBIENTE EXTREMAMENTE MASCULINO ATE AS PIADAS SAO DIFERENTES,RECURSOS DISPONVEIS PARA ACESSO ONLINE INDEPENDENTE DA PRESENCA DE UM EVENTO NO CASO RECURSOS QUE AS PESSOAS PODEM ACESSAR A QUALQUER MOMENTO,Em equipe,"Sim, autorizo!","Sim, autorizo!",016aa878077fb25f02e7ce20c8fbcc9f4b50b1b82279c22a2c8104d6775b9e61,ce2bab1c2afbe6844346fc95ef7c46d7ec9d0c32a22cd2b4a3e4dfa0974b398f,82f0a5c75cce96271e36d69732529c969a54b1dc77b2083dc71350fa5ab8f08c
28/06,Sim,Entre 41 e 50 anos,Pós-Graduação Stricto Sensu (Mestrado/Doutorado/Pós-Doutorado) - concluído,GUARIBAS/EUSÉBIO,Parda,Cisgênera,Heterossexual,Sim e compartilho a responsabilidade sobre eles com outras pessoas,Sim.,Funcionária de empresa privada (CLT/PJ),Não quero mudar de emprego/estágio/etc.,Data Manager,Acima de 7 salários míninos ( >= 9.884 ),Mais de 4 anos,Sim,2 a 4 anos,Não se aplica,Pleno,Data Science;Machine Learning,"Cloud, DevOps",Estou na comunidade desde 2018,"Sim, como organizadora;Sim, como palestrante/ministrante de curso/etc.;Sim, como participante",QUE MAIS MULHERES SEJA PROTAGONISTAS,COM A MINHA PARTICIPACAO MAS ACREDITO QUE MAIS MULHERES PRECISAM SER PROTAGONISTAS,Entre 1 a 3 eventos por ano,Workshops;Tutoriais,Data Science;Machine Learning,Sim,"Algum sobre área de dados, gestão de times de dados … porém necessário me organizar a nível de tempo",nula,Talvez,Sim. DevOpsDays Fortaleza e apoio a algumas ações do PMI CE e WTM do GDG como palestrante,Sim,"📚 (livros, representando interesses em leitura);🌍 (viagens, para interesses em explorar o mundo)",INUMEROS MAS MUITOS JA SUPERADOS,NULA,nula,"Sim, autorizo!","Sim, autorizo!",414944db5083db98249052792b1233b0fa500f2a9c9644ad35376013ac022ad2,a0a81dbec975c118d40dfbd7f12789f1cbd8b095f83dce80494c604b9a10aac8,5a2e60f6630edeb65577f287da451e54966cf0119b62c3741319ba88536119db
25/06,Sim,Entre 25 e 30 anos,Ensino Médio/Técnico (cursando ou concluído),Fortaleza/ Rodolfo Teófilo ,Branca,Cisgênera,Assexual;Pansexual,Não,"Não, era do atendimento ao cliente ",Funcionária de empresa privada (CLT/PJ),Não quero mudar de emprego/estágio/etc.,Desenvolvedora Front-end Junior ,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),2 a 4 anos,Não,Não se aplica,Sim,Não se aplica,Não se aplica,"JS, PHP, .NET",Evento,"Sim, como participante",NULA,NULA,1 evento por ano,Atividades lúdicas e recreativas;Workshops;Palestras;Tutoriais,Análise/Visualização de Dados;Big Data;Desenvolvimento Web;Jogos;Machine Learning;Segurança,Não,nula,nula,"Sim, como mentorada",Não ,Não,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);🎶 (música, para interesses musicais);🌍 (viagens, para interesses em explorar o mundo);🎮 (jogos, para quem curte videogames)",A FALTA DE CONFIANCA E O MACHISMO,NULA,Gosto dos dois. As vezes é interessante aprender sozinha.,"Sim, autorizo!","Sim, autorizo!",b8fa8f777747835db6cb6b0960037e0c78f8f531742ac54ad91f43686c929b01,1072907e65ec370aa1c4b80816bbd0d1fbb0e21a44299c4d54b0067db5626773,f3d33b5e01888b02efc959c3e798366c947fd4e6eb05fcd2073af146fca3f19c
25/05,Sim,Entre 31 e 40 anos,Graduação - cursando,FORTALEZA/MONDUBIM ,Parda,Cisgênera,Heterossexual,Não,ADM ,Estagiária,Estou buscando ativamente novo emprego/estágio/etc.,Ainda não sei,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),Mais de 4 anos,Sim,1 ano a 2 anos,Sim,Não sei definir,Não se aplica,Swift ,"Redes Sociais (Instagram, Facebook e etc)","Sim, como organizadora;Ajudei a organizar 1 evento ",UMA REDE DE APOIO PARA CONSEGUIR MEU PRIMEIRO EMPREGO,ESTOU MEIO PARADA PQ ESTOU TRABALHANDO MUITO,1 evento por ano,Workshops;Tutoriais,Análise/Visualização de Dados;Desenvolvimento Web,Não,nula,nula,"Sim, como mentorada",Não ,Não,"📚 (livros, representando interesses em leitura);🎶 (música, para interesses musicais)",EM MINHA CASA NAO TENHO ESPACO PARA ESTUDAR,NULA,nula,"Sim, autorizo!","Sim, autorizo!",fd8204262287de03fcaa040e93463c4ba4124723c3d3e7be192d0553b06d9543,54e6cac0e4198410a6cf4cb4c08293c2e1dff43f6011a83cbe4a82ee8b2acd1d,7cac94610a25e605d8c23cc89bcbee63407df21d3dd6572127bb3447d6031699
04/09/1997,Não,Entre 25 e 30 anos,Graduação - cursando,FORTALEZA/MONDUBIM ,Parda,Prefiro não informar,Lésbica,Não,e-Commerce ,Funcionária de empresa privada (CLT/PJ),"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas",Analista de e-Commerce ,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),menos de 1 ano,Sim,menos de 1 ano,Sim,Júnior,Análise/Visualização de Dados;Testes,Javascript,"Redes Sociais (Instagram, Facebook e etc);Indicação de amiga(o)",Não,UM LOCAL DE APRENDIZADO E TROCA DE EXPERIENCIAS,COMO MONITORA QUEM SABE FALANDO SOBRE VIVENCIAS NO DIA A DIA,Entre 3 a 5 eventos por ano,Atividades lúdicas e recreativas;Workshops;Palestras;Tutoriais,Análise/Visualização de Dados;Big Data;Jogos;Segurança;Testes,Talvez,nula,nula,"Sim, como mentorada",Não ,Não,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);⚽ (futebol, representando interesses esportivos);🎶 (música, para interesses musicais);🎮 (jogos, para quem curte videogames)",CREDIBILIDADE,NULA,"Individuais, nunca estive em um trabalho de equipe.","Sim, autorizo!","Sim, autorizo!",f341c1fd292992ec9c49769fbace3049953099d900f3ba77830651659080a514,7edcea4d33a245a39885e8603c3b211769e19ef81399c9b1b02135726dc41877,e5faa008a59b13eb2dfb0d0ce88f62801ebe4ec804485e247ab3a4f449f72c34
17/02,Sim,Entre 18 e 24 anos,Graduação - concluído,PANAMERICANO,Parda,Cisgênera,Heterossexual,Não,Sim,Funcionária de empresa privada (CLT/PJ),"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas",Desenvolvedora Back-end,Entre 3 salários míninos a 7 salários míninos ( >= 4.236 e < 9.884 ),2 a 4 anos,Sim,2 a 4 anos,Não se aplica,Pleno,Desenvolvimento Web,PHP,Indicação de amiga(o),"Sim, como participante",ESPERO CONSEGUIR A COMUNIDADE CONTINUA ATIVA,JA SOU VOLUNTARIA,nula,Atividades lúdicas e recreativas;Workshops;Palestras;Tutoriais,Desenvolvimento Web,"Sim, tendo apoio e divindindo espaço da apresentação com outra pessoa","Como iniciar no mundo da TI, TUTORIAS DE DJANGO REST",nula,"Sim, como mentora e mentorada",Não,Não,"🍳 (culinária, para quem gosta de cozinhar);🌍 (viagens, para interesses em explorar o mundo)",NULA,NULA,nula,"Sim, autorizo!","Sim, autorizo!",00f2daa3f4a9808e617cf84a8ff8e00c688b71258d7ac07c83dded51769f6d1a,a8f97afd41e88e0e0de73e9a9f7e7033b092282d78c638504cfb97731523d684,71279ef0a6cf1badbfc999bf7016145636106b97b76fe1eac1459e17a781f37d
